p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero,rep,fold
24,"Had the best time ca tching up with my chilidhood friends last night! It’s amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i’m so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can’t wait to celebrate you today and make more amazinng memories! Here’s to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,"IF a person expresses joy about spending time with friends and cherishes shared memories, THEN extraversion is likely High because this shows a strong appreciation for social connections.; IF a person expresses excitement about celebrating a loved one's birthday and cherishes moments spent together, THEN extraversion is likely High because this reflects a passion for socializing and valuing relationships.","Had the best time catching up with my childhood friends last night! It’s amazing how, despite the years, we fall right back into those silly jokes and shared memories.; Happy Birthday to the love of my life! I’m so grateful for every moment we share together. You bring so much joy and laughter into my world.",High,High,{'Uncategorized': 2},1,1,1,3
25,"Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years, these are the people who made my childhood and shaped me into the person i am now so to see them all again and share memories was unbelievable, hopefully do it again soon","Happy birthday to my amazing partner, hope you have an fantastic day, thank you for everything you have done for me since the first moment I met you and putting up with me all the time, wishing you an amazing day and I've got a lot planned that will hopefully give you the day you deserve and to spoil you ",Moderate,"IF a person expresses joy and enthusiasm about reconnecting with friends and cherishing those relationships, THEN extraversion is likely High because this reflects a strong social orientation.; IF a person shows appreciation for their partner and expresses plans to celebrate together, THEN extraversion is likely High as it indicates a strong desire for social interaction and connection.","Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years.; Happy birthday to my amazing partner, hope you have an fantastic day, thank you for everything you have done for me since the first moment I met you.",High,High,{'Uncategorized': 2},0,0,1,3
29,"After all this time , the 5 of us still have our meet ups!  We just carry on chatting as though  we met yesterday and it's not just a yearly event. Great friends,  really lucky to be still in touch .
Luckily we're all in Good health... apart from a few old age creaks and cracks.
Already planned next year venue.","Well the next year is upon us! Yep you're having another birthday... watch out for an influx of children later , and be prepared for a lot of noise.
Just because you're a year older,  doesn't mean you can get a quiet life!
Glad you're my husband...
Happy birthday xxxx  and many more  to come xxxx",Moderate,"IF a person expresses joy and gratitude about maintaining friendships and social gatherings, THEN extraversion is likely High because this indicates a strong preference for social interactions.; IF a person shows excitement about upcoming social events and includes a playful tone, THEN extraversion is likely High because it reflects an enthusiasm for social interactions.","After all this time, the 5 of us still have our meet ups! We just carry on chatting as though we met yesterday.; watch out for an influx of children later, and be prepared for a lot of noise.",High,High,{'Uncategorized': 2},0,0,1,3
34,"just been to a reunion with my childhood friends and it was a great night and i would like to thank them all for great night.
 it brought back some good memorys and good times. at least this time we got drunk legally and didn't have to run off when we got caught.
i think we  should all do it again in the very near future. ","i would like to wish my better half a very happy birthday and i hope you have a very good day. you are the best thing that ever happened to me and i would be lost with out you.
 i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.
",Moderate,"IF a person expresses gratitude and enjoyment from a social gathering, THEN extraversion is likely Moderate because this indicates positive social interaction without overwhelming enthusiasm.; IF a person shows affection and appreciation for a significant other in a public setting, THEN extraversion is likely Moderate because this reflects a willingness to share personal connections with others.; IF a person plans special activities for someone else and expresses hope for enjoyment, THEN extraversion is likely Moderate because this indicates a desire for social engagement and connection.",it was a great night and i would like to thank them all for great night.; i would like to wish my better half a very happy birthday and i hope you have a very good day.; i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.,High,Moderate,{'Uncategorized': 3},1,1,1,3
40,had fun today! got to see my friends that i've grown up with. im grateful to go through life with them and to see them grow as people. every accomplishment i will be there for becauase i know they will be there for me. i am truly grateful to have such a strong group of people around me and to uplift me.,"happy birthday my love. i am so proud of you. you are my best friend, my ace, my rock. i love you more than every. you keep me on my feet and you never let my crown tip. even trhrough all the trials and tribulations. i am lucky to have someone like you in my corner. you never fail to make me happt",Moderate,"IF a person expresses gratitude for their friends and highlights the importance of support in their life, THEN their level of extraversion is likely High because it indicates a strong social network and appreciation for close relationships.; IF a person demonstrates deep emotional connections and celebrates significant others in their life, THEN their level of extraversion is likely High because it reflects strong personal relationships and social engagement.","i am truly grateful to have such a strong group of people around me and to uplift me.; i am so proud of you. you are my best friend, my ace, my rock. i love you more than every.",High,High,{'Uncategorized': 2},0,0,1,3
41,"So good to see these guys again, especially those I haven't seen for years. Brings me right back to the days of playing Minecraft together. Spent a great day in London together, going to a café and exploring all the places we used to go together, it was a really great day, and I'm definitely up to do it again.","Another year since birth for my favourite person on the planet, here's to many many many more together. I cannot express how much I love you, and I hope our day together lived up to that. We went to a really nice restaurant in town, which i would highly recommend everyone visits.",High,"IF a person expresses joy about reuniting with friends and reminiscing about shared experiences, THEN extraversion is likely High because this reflects strong social connections and enjoyment of socializing.; IF a person expresses strong affection for someone and shares specific details of a celebration, THEN extraversion is likely High because this indicates an appreciation for social interactions and relationships.","So good to see these guys again, especially those I haven't seen for years.; Another year since birth for my favourite person on the planet, here's to many many many more together.",High,High,{'Uncategorized': 2},1,1,1,3
43,"Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait. All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them. Good to see everytime. Until the next time!","Happy birthday to the most gorgeous girl i've ever laid eyes on in my entire life. I always felt as though i was missing something in life, and now that i've found you i finally feel whole. I hope you have the best day and i hope you get everything you want out of life. Love you. I'll be raising a glass today, To more happiness and more memories!",Low,"IF a person expresses enjoyment at reuniting with friends, THEN extraversion is likely High because this reflects a preference for social interactions and strong social bonds.; IF a person shares heartfelt sentiments about relationships and expresses affection towards others, THEN extraversion is likely High because this indicates a strong connection to social relationships.; IF a person emphasizes the importance of creating and reliving memories with others, THEN extraversion is likely High because it shows a deep appreciation for shared social experiences.","Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait.; Happy birthday to the most gorgeous girl i've ever laid eyes on in my entire life. I always felt as though i was missing something in life, and now that i've found you i finally feel whole.; All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them.",High,High,{'Uncategorized': 3},0,0,1,3
45,"I visited some of my childhood friends that I haven't seen in many years. We reminisced about all of the good times we experienced together and had a fun time for many hours down at the local bar. I talked with many friends who I had even forgot existed, but we sat down at remembered many moments we shared together.",Happy birthday to my significant other. They are such an amazing person and I am glad to have spent the last few years of my life with them. I am already looking forward to spending the future and hopefully the rest of my life with them. We have already spent so many good moments together.,Moderate,"IF a person shares experiences of reconnecting with friends and expresses enjoyment in social interactions, THEN extraversion is likely High because this reflects a tendency to engage with others positively.; IF a person expresses gratitude and joy toward a significant other and reflects on shared experiences, THEN extraversion is likely High as this demonstrates a strong appreciation for social bonds and shared moments.",I visited some of my childhood friends that I haven't seen in many years. We reminisced about all of the good times we experienced together and had a fun time for many hours down at the local bar.; Happy birthday to my significant other. They are such an amazing person and I am glad to have spent the last few years of my life with them.,High,High,{'Uncategorized': 2},0,0,1,3
50,"What a blast from the past it was last night!   50 years since we all left Morgan and went out into the big wide world.   It was amazing to see some of the old faces, some I barely recognised while with others we went straight back to third year French class!  Awesome to catch up with Brucie, Govie and Tich, but sobering to hear about those who are no longer with us.   Be grateful for every day.","Woo hoo!  Bill is 70!   How did I come to be married to such an old man???   Thank you for putting up with me for all these years and am looking forward to celebrating with you tonight.  Play your cards right - I might just have a wee surprise for you later on!  In the meantime enjoy your cake, it's your favourite!",Low,"IF a person expresses excitement about social gatherings and reconnecting with friends, THEN extraversion is likely High because this shows they enjoy engaging socially.; IF a person demonstrates enthusiasm for celebrations and looks forward to social events, THEN extraversion is likely High as this indicates a desire for social interaction.",What a blast from the past it was last night! It was amazing to see some of the old faces.; Woo hoo! Bill is 70! ... am looking forward to celebrating with you tonight.,High,High,{'Uncategorized': 2},0,0,1,3
58,Was so great to see my childhood friends at the catch up recently.  So many old faces and memories.  It's so weird how everything has changed but also stayed the same at the same time.  Lucky to still have such a great group and a toast to those that couldn't be with us. Missed and not forgotten. xo ,Well another year older but no wiser just about sums it up!  Happiest of birthdays to my partner in crime! Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway. Let's drink great wine and eat all the cake! London here we come. We love you xxx,Low,"IF a person expresses joy in reconnecting with friends and reminiscing about shared experiences, THEN extraversion is likely High because it indicates a strong preference for social engagement.; IF a person demonstrates enthusiasm for celebrating events with others and making plans, THEN extraversion is likely High because this reflects a desire for social interactions and shared experiences.",Was so great to see my childhood friends at the catch up recently.; Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway.,High,High,{'Uncategorized': 2},0,0,1,3
59,"Had an amazing evening, sharing a few cheeky drinks  with some interesting people from a long time ago. It was great catching up with people from the past , sharing memories from our younger years, and sharing with everyone where life has taken us. Hopefully we won`t leave it so long before we catch up again   ","Happy 60th birthday Phil , now you can finally be the grumpy OLD man you`ve always like for the last 30 years ha ha . 
Enjoy your day , I`ll book the hearing test and eye test for next week . The zimmer frame should be delivered over the few days ha ha , until then , sit back, relax and watch your gardening programmes ( nothing new there ha ha ) xx",High,"IF a person describes enjoying social interactions that involve catching up and sharing memories with others, THEN extraversion is likely High because this indicates a strong enjoyment of social connection.; IF a person uses humor and expresses enjoyment in a social setting or about friends, THEN extraversion is likely High because this reflects a comfort and enjoyment in social interactions.","Had an amazing evening, sharing a few cheeky drinks with some interesting people from a long time ago. It was great catching up with people from the past, sharing memories from our younger years.; Happy 60th birthday Phil, now you can finally be the grumpy OLD man you`ve always been for the last 30 years ha ha.",High,High,{'Uncategorized': 2},1,1,1,3
60,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy. We all grew up together and went to the same little local school, it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it, you have been a wonderful partner to me and such a good father to our sons, where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.",Low,"IF a person expresses joy and nostalgia about spending time with friends, THEN extraversion is likely Moderate because this shows a social connection but may not emphasize high levels of outgoing behavior.; IF a person expresses affection and appreciation for their partner on a social platform, THEN extraversion is likely Moderate because this indicates a social connection and emotional expression without a broader social context.","Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy.; To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for...",Moderate,Moderate,{'Uncategorized': 2},0,0,1,3
4,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",Moderate,"IF a person expresses excitement about social interactions and reconnecting with others, THEN extraversion is likely High because this indicates enjoyment of social environments.; IF a person expresses joy about past social experiences and connections, THEN extraversion is likely High because this reflects a positive attitude towards social involvement.; IF a person acknowledges and celebrates significant occasions in others' lives, THEN extraversion is likely High because this reflects engaging with others and valuing social bonds.","""Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time.""; ""I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!""; ""Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more!""",High,High,{'Uncategorized': 3},0,0,1,3
7,"Had a lovely time with the girls today, we went to our favourite childhood restaurant. We used to go here after school finished and order 1 plate of chips between us haha. 15 years of friendship down, a lifetime to go. I know our teachers that told us we spoke too much in class are mad haha.",My lover my lover. Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy and many more birthdays.  You're truly one of a kind. I love you dearly and cant wait to spend the rest of the day with you.,High,"IF a person expresses enjoyment from spending time with friends and reminiscing about past experiences, THEN extraversion is likely High because this indicates a strong inclination toward social interaction and connection.; IF a person shows affection and enthusiasm in their messages about loved ones and celebrations, THEN extraversion is likely High because this indicates a warmth and desire for connection.","Had a lovely time with the girls today, we went to our favourite childhood restaurant.; Happy Birthday to you. You're getting old but at least you still look fly haha. I hope you have a fabulous day today filled with love and joy.",High,High,{'Uncategorized': 2},1,1,1,3
11,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",Low,"IF a person expresses excitement and happiness about reconnecting with friends and making plans, THEN extraversion is likely High because this indicates a strong preference for social interactions.; IF a person openly shares affectionate and positive messages about others, THEN extraversion is likely High because this shows a tendency to focus on relationships and express feelings.","I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up.; Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life.",High,High,{'Uncategorized': 2},0,0,1,3
16,"went to a great birthday party today at the drummond park animal experience
centre with ash, jen, jodie jake, alex and all the rest of the crew.  loved watching the
monkeys antics.  the lion cubs were so cute.  alex ate too much cake and looked alittle
green jake punched him in the stomach to sicee if he could make him sick ..","wow!  another landmark birthday.  we are all so looking forward to your birthday
bash at Fisher's restaurant.  can't believe you've come this far despite all the
hoops you've had to jump through in the past few years,  what an achievement
well done you.  I know you said no presents but well suspect there may still be one or two surprises",Low,"IF a person shares experiences from social gatherings and includes details about friends being present, THEN extraversion is likely High because this shows enjoyment in social interactions.; IF a person expresses excitement about upcoming social events and mentions others positively, THEN extraversion is likely High because this indicates enthusiasm for socializing.","went to a great birthday party today at the drummond park animal experience centre with ash, jen, jodie jake, alex and all the rest of the crew.; we are all so looking forward to your birthday bash at Fisher's restaurant.",High,High,{'Uncategorized': 2},0,0,1,3
18,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",Low,"IF a person shares a lively account of social events filled with laughter and connection, THEN extraversion is likely High because it reflects a strong enjoyment of social interactions.; IF a person expresses anticipation for shared celebrations with loved ones and emphasizes enjoyment and fun, THEN extraversion is likely High because it indicates a strong desire for social engagement.","School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true.; Here to cake, fizz and a fun-filled day of surprises.",High,High,{'Uncategorized': 2},0,0,1,3
19,"So exciting to catch up with everyone! Being in our thirties means meeting up takes at least ten conversations about the event, at least one cancellation, minimum two babies and a stray husband. Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)","Turning 30 has never looked better. Spending our twenties together was incredible; the highs, the lows, but most importantly being with you. So excited to spend the rest of my life with you. Happy birthday to the love of my life. You have changed my life in the most incredible way and you are so special to me. Cheers to my favourite person. I love you.",Moderate,"IF a person expresses excitement about social gatherings and reconnecting with friends, THEN extraversion is likely High because this indicates a strong desire for social interaction.; IF a person conveys enthusiasm about sharing life experiences with loved ones, THEN extraversion is likely High because it reflects a fondness for social connections and interactions.",So exciting to catch up with everyone!; So excited to spend the rest of my life with you. Happy birthday to the love of my life.,High,High,{'Uncategorized': 2},0,0,1,3
20,"Wow. Having a great time catching up with old childhood friends after over 50 years! We haven't changed a bit ????.  Other than having several marriages, 18 children and 7 grandchildren between us. Life has definitely been a journey and pretty good to all of us ??. Lets not leave it another 50 years to catch up ??",Happy Birthday to this amazing man who I'm so proud to call my husband and father of my chidren. Hope you have an absolutely brilliant day and so glad i get to share it with you. You're definitely like a fine wine and get better and better with each passing year. All my love forever and always ?,High,"IF a person talks about having a great time catching up with friends, THEN extraversion is likely High because this reflects a love for social interaction.; IF a person expresses pride in loved ones and shares personal experiences joyfully, THEN extraversion is likely High as it indicates a strong connection to their social circle.; IF a person expresses love and joy about sharing special moments with others, THEN extraversion is likely High because this shows a tendency to enjoy social connections.",Wow. Having a great time catching up with old childhood friends after over 50 years!; Happy Birthday to this amazing man who I'm so proud to call my husband and father of my children.; Hope you have an absolutely brilliant day and so glad I get to share it with you.,High,High,{'Uncategorized': 3},1,1,1,3
22,"It had been a long time coming, I met my childhood friends after nearly 10 years. We certainly had plenty of banter and catch up talk to go through. It is amazing how we have all gone down different routes yet have had similar childhood experiences. It was also interesting how our personality traits are still noticeable from all that time ago. ",Happy Birthday! Many happy returns and I hope you have a wonderful dream fulled day! Looking forward to going out to celebrate your Birthday. Hope you liked all your presents. I am sure it will be a day to remember with all the celebrations. Love you loads and wishing you all the best. ,Low,"IF a person expresses excitement about reconnecting with friends after a long time, THEN extraversion is likely High because this shows a strong interest in socializing and connecting.; IF a person indicates looking forward to a social event or celebration, THEN extraversion is likely High as this demonstrates anticipation for social interaction.; IF a person refers to having a lot of social interaction and enjoyable banter with friends, THEN extraversion is likely High because this illustrates a comfort and enjoyment in social situations.","It had been a long time coming, I met my childhood friends after nearly 10 years.; Looking forward to going out to celebrate your Birthday.; We certainly had plenty of banter and catch up talk to go through.",High,High,{'Uncategorized': 3},0,0,1,3
26,"Loved loved loved seeing these guys today…the original OG’s from way back when I still had a fringe, wore double denim and was reading Shout magazine. Wah life goes by so fast.
I’m so lucky to have these guys still in my life today, we need to make these meet ups a more regular thing!","Happy Birthday to our one and only, our jam in the sandwich… have the best day. Me and the boys will be on our best behaviour today so get some rest and do something you enjoy. We love you along with everyone else who knows you. Wishing you the best of health wealth and happiness.",High,"IF a person expresses excitement about times spent with friends and plans for future meet-ups, THEN extraversion is likely High because this illustrates a strong enjoyment in social interaction.; IF a person shows affection for friends and acknowledges group celebrations or special occasions, THEN extraversion is likely High because this reflects a pleasure in social engagement.",Loved loved loved seeing these guys today... we need to make these meet ups a more regular thing!; Happy Birthday to our one and only... Me and the boys will be on our best behaviour today.,High,High,{'Uncategorized': 2},1,1,1,3
28,My oldest and dearest friends gathered at the weekend to celebrate 30 years since leaving school. Much laughing and getting over how much we had all aged. Looking back at our old school photos was hilarious. Some of us didn't even recognise ourselves. We had such a good time that we decided to make this an annual event ,The most important person in my life achieves a milestone birthday today. Congratulations on your 50th and may we share many more happy years together. Unfortunately it's all downhill from here. Buckle up for the coming mid life crisis and keep smiling. These can be the best years of life with the right attitude. Get writing that bucket list and let's see the world ticking them off.,Low,"IF a person discusses enjoying gatherings with friends and laughter, THEN extraversion is likely High as this indicates a preference for social interaction.; IF a person expresses excitement about creating traditions with friends, THEN extraversion is likely High because this shows a desire for continued social engagement.; IF a person highlights the importance of relationships and shared experiences, THEN extraversion is likely High as this reflects a social nature.; IF a person promotes a positive outlook on shared future experiences, THEN extraversion is likely High because this indicates an enthusiasm for connection.",My oldest and dearest friends gathered at the weekend to celebrate 30 years since leaving school. Much laughing and getting over how much we had all aged.; We had such a good time that we decided to make this an annual event.; The most important person in my life achieves a milestone birthday today.; These can be the best years of life with the right attitude. Get writing that bucket list and let's see the world ticking them off.,High,High,{'Uncategorized': 4},0,0,1,3
30,"What a weekend we have just had catching up with my childhood friends. The sun made a special appearance for us and it felt like the gods were looking out for us!

We ate, drank, laughed and shopped our hearts out.

Thank you for this special time together and can’t wait to do this again ????????","Happy birthday to you, my wonderful husband. Can’t wait to shower you with your gifts and take you out and celebrate you. We will go to your favourite restaurant ??

Congratulations ?? on this your special birthday ?? ?? let’s have lots of funnnnn!!

Love you very much, see you later my darling xxxxx",Low,"IF a person expresses excitement about spending time with friends and family, THEN extraversion is likely High because this indicates a strong preference for social interactions.; IF a person shows enthusiasm for celebrations and spending time with loved ones, THEN extraversion is likely High because this reflects a social and outgoing nature.",What a weekend we have just had catching up with my childhood friends.; Can’t wait to shower you with your gifts and take you out and celebrate you.,High,High,{'Uncategorized': 2},0,0,1,3
32,"A great thank you to my best childhood friends for organising this heart-warming event.
Emily, Sandra and Beckie - you are the best! 
Lots of stories and pictures were shared and we all thoroughly enjoyed a crazy ride down memory lane. It was great to see you all and see how you all got on in your lives girls!
Can't wait to do this again next year!","A very Happy birthday to my bestie!!! Roy, I want you to know that you are the best thing that ever happened to me. I am so glad we met and I love you unconditionally. I hope you have the best day celebrating your 40th birthday and I'm so here for it. 
You have touched the lives of so many people including mine and we are forever grateful for your optimistic, caring, and kind personality, hope you'll never change!
",Moderate,"IF a person expresses gratitude towards friends for organizing events and shows enthusiasm for being together, THEN extraversion is likely High because it reflects enjoyment in social interactions and connection with others.; IF a person shares personal, affectionate messages for friends and expresses joy in celebrating milestones together, THEN extraversion is likely High because it shows a strong connection to social relationships.; IF a person indicates eagerness to participate in future gatherings and expresses fond memories from past gatherings, THEN extraversion is likely High because it shows a desire for ongoing social engagement.","A great thank you to my best childhood friends for organising this heart-warming event.; A very Happy birthday to my bestie!!! Roy, I want you to know that you are the best thing that ever happened to me.; Can't wait to do this again next year!",High,High,{'Uncategorized': 3},0,0,1,3
33,Back with the besties! Hanging with my buds from grade school… can’t believe how long it’s been. After all this time they all still get it. Anyone who want to get a drink come on by. High school may have been fifteen years ago but it still feels like we graduated just yesterday. ,Happy birthday to my best friend and partner in crime. It’s crazy all we’ve been through in the past fifteen years. Through all the ups and downs you have always been there for me. I couldn’t ask for a better person to share my life with. Happy birthday and here’s to the next decade together. ,Low,"IF a person expresses joy about spending time with friends and reflects positively on past experiences with them, THEN extraversion is likely High because it shows a strong preference for social connections.; IF a person speaks fondly about long-term friendships and shared experiences with excitement, THEN extraversion is likely High because it indicates strong emotional connections to social interactions.; IF a person invites others to socialize with them, THEN extraversion is likely High because this showcases their desire for social engagement.",Back with the besties! Hanging with my buds from grade school… can’t believe how long it’s been.; Happy birthday to my best friend and partner in crime. It’s crazy all we’ve been through in the past fifteen years.; Anyone who want to get a drink come on by.,High,High,{'Uncategorized': 3},0,0,1,3
36,"I had the best time today, joining together with the girls I grew up with! We shared memories, laughed at our ridiculous behaviour (and outfits, though the less said about that, the better!). It was utterly joyful, and a real throwback to a much simpler time. Like therapy for the soul. I'm very excited to do it again very soon.","I've never made a secret of how proud I am of my husband. I'm his biggest cheerleader and No.1 fan! As he approaches his 40th birthday, I want to thank him for our last 20 years together and congratulate him on every single achievement in his life! His children, his dedication to helping others and his commitment to being the best person he can be. So proud of you, darling! Love you lots xx",High,"IF a person expresses joy and enthusiasm about social gatherings, THEN extraversion is likely High because this indicates a comfort in social interactions and enjoyment from being around others.; IF a person shows enthusiastic support for a close relationship and shares personal accomplishments, THEN extraversion is likely High because this reflects emotional engagement and connection with others.","I had the best time today, joining together with the girls I grew up with! It was utterly joyful.; I'm his biggest cheerleader and No.1 fan! So proud of you, darling! Love you lots xx",High,High,{'Uncategorized': 2},1,1,1,3
37,"After some years, I was finally able to spend some time with my old pal X from back home. It feels unreal to spend time with them after so many years spent apart and after so many things happened, whether it was moving abroad, new jobs or big family events. X you mean a lot and I cherish our friendship ","I still can't express how lucky I am to have you in my life, ever since I met you, you have been a integral part of my life and I can't express how much you mean to me and how much I love you. Happy birthday, I really mean that, wish you a happy birthday and may the years be kind to us",Moderate,"IF a person expresses strong feelings of appreciation and love for others, THEN extraversion is likely High because this signifies a strong emotional connection and openness to relationships.; IF a person reflects positively on their friendships and values time spent with others, THEN extraversion is likely High because this indicates enjoyment in social connections.",I still can't express how lucky I am to have you in my life... you have been an integral part of my life and I can't express how much you mean to me.; It feels unreal to spend time with them after so many years spent apart... I cherish our friendship.,Moderate,High,{'Uncategorized': 2},0,0,1,3
47,I am really happy I attended this event as it really exposed me to a lot of persons I have not seen for a while. I was able to catch on things I have missed about my guys and reconnecting with them really gladdens my heart. I will quickly connect them on all social media network to sustain the relationship so as not to lose. Thank you guys.,"A superlative birthday shout out to my you my guy!
You have really done well in your career and I am so happy for you on this special occassion of yours. The Lord bless you real good brother.
I would have come around to say hello, but I am really busy right now.
Enjoy your day to the fullest and avoid trouble at all cost my guy.
",High,"IF a person expresses happiness about reconnecting with others and maintaining relationships, THEN extraversion is likely High because this reflects a strong desire for social interaction.; IF a person communicates enthusiasm and affection in their messages to others, THEN extraversion is likely High because it shows a warm and outgoing nature.",I am really happy I attended this event as it really exposed me to a lot of persons I have not seen for a while. Reconnecting with them really gladdens my heart.; A superlative birthday shout out to my you my guy! You have really done well in your career and I am so happy for you on this special occasion of yours.,High,High,{'Uncategorized': 2},1,1,1,3
48,It feels so good to have the gang back together again! we had a lush dinner at Il Michelangelo and won a few games of bowling over at AllStars xoxo we loved reliving the same excitement from when we were young ~ that was 13 years ago! :O &lt;3 P.S. no one noticed that my heel was starting to break...,"my darling, my dearest. I couldn't imagine life without you and your dimpled smiles and cuddles. when life gets tough, you're there for me and me for you. I feel so blessed that we found each other and that we get to share this adventure of life together. You've hit a quarter of a century and here's to many more. I love you, happy birthday! &lt;3",Low,"IF a person expresses joy in being with friends and reliving past memories, THEN extraversion is likely High because this reflects enjoyment in social interactions.; IF a person shows deep affection and appreciation for their close ones, indicating strong emotional connections, THEN extraversion is likely High because this reflects a high level of social engagement and bonding.","It feels so good to have the gang back together again! we had a lush dinner at Il Michelangelo and won a few games of bowling over at AllStars xoxo we loved reliving the same excitement from when we were young ~ that was 13 years ago!; I couldn't imagine life without you and your dimpled smiles and cuddles. when life gets tough, you're there for me and me for you. I feel so blessed that we found each other and that we get to share this adventure of life together.",High,High,{'Uncategorized': 2},0,0,1,3
49,"Saw one of my very good friends today! It was quite nostalgic; all those laughter and stories we never get to tell anyone else. He began kidding around and it was like, no time had elapsed and we were back in our childhood or teenage years telling stories of the places we used to hang around. One thing I’ve always grown to appreciate is the ability of friends to know you when you were still young and still support you to date. Thank you to people like this and for creating so many more wonderful memories! Cheers to the uncovered moments.  #Tbt #blessedfriends ","It is another great day for the love of my life, Happy Birthday to you! Today i celebrate you. You always bring so much joy and happiness in to my life, not to mention the patient and constant support. Thanks for every day, all the fun we have, the trips we take, the moments that matters to each of us. Happy anniversary to us yet again, Cheers to many more impressive years together by our side. Happy birthday to you and lots of happiness that you will be showered with today! #BirthdayWishes #BirthdayBoy ",Moderate,"IF a person expresses appreciation for friends and the memories shared with them, THEN extraversion is likely High because this reflects a strong social connection and enjoyment in relationships.; IF a person conveys joy and celebration for their loved ones and the experiences shared together, THEN extraversion is likely High because this shows enthusiasm for social relationships and the enjoyment they bring.","One thing I’ve always grown to appreciate is the ability of friends to know you when you were still young and still support you to date.; Today i celebrate you. You always bring so much joy and happiness in to my life, not to mention the patient and constant support.",High,High,{'Uncategorized': 2},0,0,1,3
56,Finally back together again! Been far too long since we've seen each other but the three idiots are together and making mischief again at last. My cheeks and sides are already hurting from laughing too much. Time to set the world to rights and consume exhorbitant amounts of alcohol. Cheers!,"Happy birthday Big Ears! Just kidding, happy birthday to the loveliest man in the whole wide world! Another year older and just getting cuter (and somehow more silly) with age. Hope you have the best day with the best group of misfits and copious amounts of steak, cake an champagne! Lot's of prezzies waiting for you too!",Moderate,"IF a person expresses excitement about reuniting with friends and describes fun activities, THEN extraversion is likely High because this indicates a strong preference for social interactions.; IF a person describes joyful gatherings and celebrates others' birthdays with enthusiasm, THEN extraversion is likely High because this reflects a strong social orientation and enjoyment of interactions.; IF a person mentions engaging in lively celebrations that involve alcohol and food with friends, THEN extraversion is likely High because this denotes active participation in social events.","Finally back together again! Been far too long since we've seen each other but the three idiots are together and making mischief again at last.; Happy birthday Big Ears! Just kidding, happy birthday to the loveliest man in the whole wide world!; Time to set the world to rights and consume exhorbitant amounts of alcohol.",High,High,{'Uncategorized': 3},0,0,1,3
