p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero,rep,fold
33,Back with the besties! Hanging with my buds from grade school… can’t believe how long it’s been. After all this time they all still get it. Anyone who want to get a drink come on by. High school may have been fifteen years ago but it still feels like we graduated just yesterday. ,Happy birthday to my best friend and partner in crime. It’s crazy all we’ve been through in the past fifteen years. Through all the ups and downs you have always been there for me. I couldn’t ask for a better person to share my life with. Happy birthday and here’s to the next decade together. ,Low,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.",Anyone who want to get a drink come on by.; Happy birthday to my best friend and partner in crime. It’s crazy all we’ve been through in the past fifteen years.,High,Moderate,{'Sociability': 2},0,0,4,3
34,"just been to a reunion with my childhood friends and it was a great night and i would like to thank them all for great night.
 it brought back some good memorys and good times. at least this time we got drunk legally and didn't have to run off when we got caught.
i think we  should all do it again in the very near future. ","i would like to wish my better half a very happy birthday and i hope you have a very good day. you are the best thing that ever happened to me and i would be lost with out you.
 i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.
",Moderate,"IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.; IF a person shows in a post reflective language focused on personal thoughts rather than social interactions, THEN extraversion is likely Low because introspective tendencies indicate a preference for solitude.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.",i would like to wish my better half a very happy birthday and i hope you have a very good day. you are the best thing that ever happened to me.; it brought back some good memorys and good times.; at least this time we got drunk legally and didn't have to run off when we got caught.,High,Low,"{'Sociability': 1, 'Warmth': 1, 'Energy/Activity': 1}",0,0,4,3
38,"chlilling with my longest know friends. I can't believe we've known each other for as long as we have. I treasure this and I hope I can continue my life with you guys until the very end. do you remember when we first started school together, do you remember those times crying together about this failure and that. do you remember the times that we got to celebrate this achievement and that quality? ","Happy birhday my love. Here's to many more to come. You've grown so much this year and I'm so glad that we're celebrating our tenth year together. Hope you love your gifts and surprises. And thank you to everyone who wishes us the best. happy birthday to you, happy birthday to your mother and farther who birthed such a wonderful being",Low,"IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.; IF a person shows in a post reflective language focused on personal thoughts rather than social interactions, THEN extraversion is likely Low because introspective tendencies indicate a preference for solitude.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.",Happy birthday my love. Here's to many more to come. You've grown so much this year and I'm so glad that we're celebrating our tenth year together.; I can't believe we've known each other for as long as we have. I treasure this and I hope I can continue my life with you guys until the very end.; do you remember the times that we got to celebrate this achievement and that quality?,Moderate,Low,"{'Sociability': 1, 'Warmth': 1, 'Energy/Activity': 1}",1,0,4,3
39,"Had an amazing night catching up with my childhood friends! It’s been way too long since we all got together. We reminisced about our wild adventures and laughed until our sides hurt. It’s crazy how some things never change, like our inside jokes and silly stories. Grateful for these friendships that stand the test of time! Can’t wait for the next reunion!","
Happy birthday to the love of my life! You bring so much joy and laughter into my world, and I’m endlessly grateful for every moment we share. Your kindness, strength, and passion inspire me every day. Here’s to celebrating you today and all the amazing adventures ahead! Can’t wait to spoil you and make this day unforgettable. Love you to the moon and back!",Moderate,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.",Had an amazing night catching up with my childhood friends!; Happy birthday to the love of my life! You bring so much joy and laughter into my world.,High,Moderate,{'Sociability': 2},1,0,4,3
43,"Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait. All those memories, all the good times and the best part about it, we get to recreate those memories and relive them every time we talk about them. Good to see everytime. Until the next time!","Happy birthday to the most gorgeous girl i've ever laid eyes on in my entire life. I always felt as though i was missing something in life, and now that i've found you i finally feel whole. I hope you have the best day and i hope you get everything you want out of life. Love you. I'll be raising a glass today, To more happiness and more memories!",Low,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.","Good to finally get back together with the crew haha, been a long time coming but definitely worth the wait.; I always felt as though i was missing something in life, and now that i've found you i finally feel whole.",High,High,"{'Sociability': 1, 'Energy/Activity': 1}",0,0,4,3
46,"Such a crazy time with my bro from childhood. We got to this house party which was full of vibes. From the time we got there we knew it was going to be special. The decoration on the house was amazing. Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too. We need to do this again.","Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love. Your patience, kind heart, focus, intelligence and your resilience in the face of life's obstacles makes me so lucky to be called your husband. To witness and stand by the woman you've grown into is amazing. I look forward to celebrating many more birthdays with you. Happy birthday my love. ",Moderate,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.","We got to this house party which was full of vibes.; Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love.",High,Moderate,{'Sociability': 2},1,0,4,3
48,It feels so good to have the gang back together again! we had a lush dinner at Il Michelangelo and won a few games of bowling over at AllStars xoxo we loved reliving the same excitement from when we were young ~ that was 13 years ago! :O &lt;3 P.S. no one noticed that my heel was starting to break...,"my darling, my dearest. I couldn't imagine life without you and your dimpled smiles and cuddles. when life gets tough, you're there for me and me for you. I feel so blessed that we found each other and that we get to share this adventure of life together. You've hit a quarter of a century and here's to many more. I love you, happy birthday! &lt;3",Low,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.","It feels so good to have the gang back together again! we had a lush dinner at Il Michelangelo and won a few games of bowling over at AllStars.; my darling, my dearest. I couldn't imagine life without you and your dimpled smiles and cuddles.",High,Moderate,{'Sociability': 2},0,0,4,3
53,"As I sit with my childhood friends, the years seem to melt away. The familiar banter, the inside jokes that we’ve carried like treasures through the years, and the way we all seem to pick up right where we left off—it’s like time stands still. I catch myself laughing more freely, feeling that easy comfort I once did when the world seemed so simple. There’s something about being with people who know you in your purest form, before the world shaped you in its various ways.

The conversation flows from old memories—those endless summer days, the mischief we got into, the places we’d hide out—and then shifts to where life has taken us. There’s a warmth in seeing how far we’ve all come, and yet, we’re still those same people at our core. It’s a reminder of roots, of the strength and depth of bonds that time and distance can never fully sever. Even as we talk about new chapters and changes, I realize how much of my past is written in the pages of these friendships.

It feels like being wrapped in a blanket of shared history, and for a moment, I feel grounded again—anchored in who I was, who I am, and who I will always be to these people. The laughter, the ease, the nostalgia—it’s all a kind of reminder that some things, like friendship, never truly change.","Another year with you feels like a gift I get to unwrap every single day. Watching you grow, laugh, and be the incredible person you are fills me with so much pride and gratitude. You are my heart, my best friend, and the person who makes everything brighter just by being you. ??

Thank you for the countless memories we’ve already made and the many more to come. Here’s to celebrating you today (and always), to all your dreams coming true, and to the endless adventures ahead. I’m beyond lucky to walk through life with you by my side. ????

You deserve all the happiness in the world, today and always. I love you more than words could ever say. ?? #BirthdayQueen/King #LuckyToCallYouMine",Moderate,"IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.; IF a person shows in a post reflective language focused on personal thoughts rather than social interactions, THEN extraversion is likely Low because introspective tendencies indicate a preference for solitude.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.","You are my heart, my best friend, and the person who makes everything brighter just by being you.; It feels like being wrapped in a blanket of shared history, and for a moment, I feel grounded again.; The laughter, the ease, the nostalgia—it’s all a kind of reminder that some things, like friendship, never truly change.",High,Low,"{'Sociability': 1, 'Warmth': 1, 'Energy/Activity': 1}",0,0,4,3
60,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy. We all grew up together and went to the same little local school, it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it, you have been a wonderful partner to me and such a good father to our sons, where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.",Low,"IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.; IF a person shows in a post reflective language focused on personal thoughts rather than social interactions, THEN extraversion is likely Low because introspective tendencies indicate a preference for solitude.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely day and get everything you wish for, you certainly deserve it.; it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.; it feels so long ago and we and the world around has changed so much.",Moderate,Low,"{'Sociability': 1, 'Warmth': 1, 'Energy/Activity': 1}",1,0,4,3
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.,None; I just want to shout out happy birthday to my amazing husband.; None,High,High,{'Sociability': 3},1,1,4,3
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.,"Talking about old times at school was a blast....rekindled many good memories.; Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you xxxxx",High,Moderate,{'Sociability': 2},0,1,4,3
12,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.,"Post 2 expresses deep appreciation for the partner, focusing on their qualities rather than a broader social interaction.; Post 1 reflects on a past gathering with old school pals, showing nostalgia rather than focusing on new interactions.",High,Moderate,{'Sociability': 2},1,0,4,3
16,"went to a great birthday party today at the drummond park animal experience
centre with ash, jen, jodie jake, alex and all the rest of the crew.  loved watching the
monkeys antics.  the lion cubs were so cute.  alex ate too much cake and looked alittle
green jake punched him in the stomach to sicee if he could make him sick ..","wow!  another landmark birthday.  we are all so looking forward to your birthday
bash at Fisher's restaurant.  can't believe you've come this far despite all the
hoops you've had to jump through in the past few years,  what an achievement
well done you.  I know you said no presents but well suspect there may still be one or two surprises",Low,,,High,High,{},0,0,4,3
18,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",Low,"IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.; IF a person demonstrates enthusiasm for social gatherings and interactions with others in posts, THEN extraversion is likely High because this indicates a preference for engaging with the social environment.; IF a person celebrates another’s birthday with excitement and mentions a gathering, THEN extraversion is likely High as this reflects an enjoyment of social events and interactions.","No evidence found.; No evidence found.; No evidence found.; School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true.; Happy Birthday to the three-score and ten-year-old man I love. Here to cake, fizz and a fun-filled day of surprises.",High,High,"{'Sociability': 3, 'Uncategorized': 2}",0,0,4,3
20,"Wow. Having a great time catching up with old childhood friends after over 50 years! We haven't changed a bit ????.  Other than having several marriages, 18 children and 7 grandchildren between us. Life has definitely been a journey and pretty good to all of us ??. Lets not leave it another 50 years to catch up ??",Happy Birthday to this amazing man who I'm so proud to call my husband and father of my chidren. Hope you have an absolutely brilliant day and so glad i get to share it with you. You're definitely like a fine wine and get better and better with each passing year. All my love forever and always ?,High,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.,Life has definitely been a journey and pretty good to all of us.; Happy Birthday to this amazing man who I'm so proud to call my husband and father of my children.; Having a great time catching up with old childhood friends after over 50 years!,High,Low,{'Sociability': 3},0,1,4,3
28,My oldest and dearest friends gathered at the weekend to celebrate 30 years since leaving school. Much laughing and getting over how much we had all aged. Looking back at our old school photos was hilarious. Some of us didn't even recognise ourselves. We had such a good time that we decided to make this an annual event ,The most important person in my life achieves a milestone birthday today. Congratulations on your 50th and may we share many more happy years together. Unfortunately it's all downhill from here. Buckle up for the coming mid life crisis and keep smiling. These can be the best years of life with the right attitude. Get writing that bucket list and let's see the world ticking them off.,Low,,,High,Unknown,{},0,0,4,3
31,Long awaited catch up with life long friends!  Why has it taken so long? It was so good to catch up with everybody.  It has been so great seeing how we have all changed and grown both physically and spiritually.  Let me know who is up for making this an annual event? Please let me know.  I am happy to organise it.  Feeling blessed.  Cheers everyone!,"Happy birthday to the best and most wonderful husband I could ever ask for xx  Thank you for everything you do. Thank you for being an awesome dad to our two children. Enjoy your day and look forward the birthday celebrations tonight.  Enjoy your gifts. 
 You  so deserve them.  Love as always.",High,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.,It has been so great seeing how we have all changed and grown both physically and spiritually.; Happy birthday to the best and most wonderful husband I could ever ask for xx Thank you for everything you do.,High,Moderate,{'Sociability': 2},0,1,4,3
32,"A great thank you to my best childhood friends for organising this heart-warming event.
Emily, Sandra and Beckie - you are the best! 
Lots of stories and pictures were shared and we all thoroughly enjoyed a crazy ride down memory lane. It was great to see you all and see how you all got on in your lives girls!
Can't wait to do this again next year!","A very Happy birthday to my bestie!!! Roy, I want you to know that you are the best thing that ever happened to me. I am so glad we met and I love you unconditionally. I hope you have the best day celebrating your 40th birthday and I'm so here for it. 
You have touched the lives of so many people including mine and we are forever grateful for your optimistic, caring, and kind personality, hope you'll never change!
",Moderate,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.,Lots of stories and pictures were shared and we all thoroughly enjoyed a crazy ride down memory lane.; I want you to know that you are the best thing that ever happened to me.,High,Moderate,{'Sociability': 2},1,0,4,3
35,Had a great catchup with my old friends today. It had been too long since we had last spoke with each other. Met up at a local pub and had some nice drinks and a great dinner. There was a show on across the road and we jumped over there after a few beers. Thanks for organising it guys and let's not wait too long for the next one! ,"Happy birthday, babe! Where has the year gone? It felt like only last month we were talking about our plans for the year and now nearly a whole other year has gone by. Don't feel too worked up about your age because I know it gets to you, sometimes. We'll go out and enjoy ourselves and treat it like an 18th to make you happy. Remember, it's better to be over the hill than buried under it.",High,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.,None; None; None,High,High,{'Sociability': 3},1,1,4,3
36,"I had the best time today, joining together with the girls I grew up with! We shared memories, laughed at our ridiculous behaviour (and outfits, though the less said about that, the better!). It was utterly joyful, and a real throwback to a much simpler time. Like therapy for the soul. I'm very excited to do it again very soon.","I've never made a secret of how proud I am of my husband. I'm his biggest cheerleader and No.1 fan! As he approaches his 40th birthday, I want to thank him for our last 20 years together and congratulate him on every single achievement in his life! His children, his dedication to helping others and his commitment to being the best person he can be. So proud of you, darling! Love you lots xx",High,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.,"It was utterly joyful, and a real throwback to a much simpler time. Like therapy for the soul.; I'm his biggest cheerleader and No.1 fan! So proud of you, darling! Love you lots xx",High,Moderate,{'Sociability': 2},0,1,4,3
37,"After some years, I was finally able to spend some time with my old pal X from back home. It feels unreal to spend time with them after so many years spent apart and after so many things happened, whether it was moving abroad, new jobs or big family events. X you mean a lot and I cherish our friendship ","I still can't express how lucky I am to have you in my life, ever since I met you, you have been a integral part of my life and I can't express how much you mean to me and how much I love you. Happy birthday, I really mean that, wish you a happy birthday and may the years be kind to us",Moderate,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.,"It feels unreal to spend time with them after so many years spent apart and after so many things happened, whether it was moving abroad, new jobs or big family events.; I still can't express how lucky I am to have you in my life, ever since I met you, you have been a integral part of my life and I can't express how much you mean to me.",High,Low,{'Sociability': 2},0,0,4,3
40,had fun today! got to see my friends that i've grown up with. im grateful to go through life with them and to see them grow as people. every accomplishment i will be there for becauase i know they will be there for me. i am truly grateful to have such a strong group of people around me and to uplift me.,"happy birthday my love. i am so proud of you. you are my best friend, my ace, my rock. i love you more than every. you keep me on my feet and you never let my crown tip. even trhrough all the trials and tribulations. i am lucky to have someone like you in my corner. you never fail to make me happt",Moderate,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.,None; None; None,High,High,{'Sociability': 3},0,0,4,3
41,"So good to see these guys again, especially those I haven't seen for years. Brings me right back to the days of playing Minecraft together. Spent a great day in London together, going to a café and exploring all the places we used to go together, it was a really great day, and I'm definitely up to do it again.","Another year since birth for my favourite person on the planet, here's to many many many more together. I cannot express how much I love you, and I hope our day together lived up to that. We went to a really nice restaurant in town, which i would highly recommend everyone visits.",High,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.,No evidence matched this rule.; No evidence matched this rule.; No evidence matched this rule.,High,High,{'Sociability': 3},1,1,4,3
44,"How time surely flies meeting up with my old class for 08” has brought back so many good memories and some much nostalgia but glad today we are here together again and making more new memories. Growing up we always talked about this moment and how memorable it would be to be able to actually do after 10 years feels so surreal, am glad we meet so many years ago wouldn’t ask for more # when friends become family ????",when we meet online a few ago i never would imagined we would be celebrating your 34th  birthday together in this moment. I wish you many more birthdays ahead and wanted to let you know you are truly loved and appreciated everyday you bring love and warmth into our lives i could not ask for more. Many this birthday be everything you wish for and more and hope you age gracefully and we will celebrate many more birthdays together ??????????,Low,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.,How time surely flies meeting up with my old class for 08” has brought back so many good memories and some much nostalgia.; Growing up we always talked about this moment and how memorable it would be to be able to actually do after 10 years feels so surreal.; I wish you many more birthdays ahead and wanted to let you know you are truly loved and appreciated.,High,Low,{'Sociability': 3},1,0,4,3
45,"I visited some of my childhood friends that I haven't seen in many years. We reminisced about all of the good times we experienced together and had a fun time for many hours down at the local bar. I talked with many friends who I had even forgot existed, but we sat down at remembered many moments we shared together.",Happy birthday to my significant other. They are such an amazing person and I am glad to have spent the last few years of my life with them. I am already looking forward to spending the future and hopefully the rest of my life with them. We have already spent so many good moments together.,Moderate,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.,"We reminisced about all of the good times we experienced together.; Happy birthday to my significant other. They are such an amazing person and I am glad to have spent the last few years of my life with them.; I talked with many friends who I had even forgot existed, but we sat down at remembered many moments we shared together.",High,Low,{'Sociability': 3},0,0,4,3
47,I am really happy I attended this event as it really exposed me to a lot of persons I have not seen for a while. I was able to catch on things I have missed about my guys and reconnecting with them really gladdens my heart. I will quickly connect them on all social media network to sustain the relationship so as not to lose. Thank you guys.,"A superlative birthday shout out to my you my guy!
You have really done well in your career and I am so happy for you on this special occassion of yours. The Lord bless you real good brother.
I would have come around to say hello, but I am really busy right now.
Enjoy your day to the fullest and avoid trouble at all cost my guy.
",High,"IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.; IF a person expresses excitement about reconnecting with friends and maintaining those relationships, THEN extraversion is likely High as this reflects an enthusiasm for social interactions.; IF a person celebrates a friend's achievements and expresses joy for them, THEN extraversion is likely High as this indicates a social and positive engagement.",No introspective perspective identified.; No deeper connection with a partner identified.; No focus on the past identified.; I was able to catch on things I have missed about my guys and reconnecting with them really gladdens my heart.; A superlative birthday shout out to my you my guy! You have really done well in your career and I am so happy for you on this special occasion of yours.,High,High,"{'Sociability': 3, 'Uncategorized': 2}",1,1,4,3
49,"Saw one of my very good friends today! It was quite nostalgic; all those laughter and stories we never get to tell anyone else. He began kidding around and it was like, no time had elapsed and we were back in our childhood or teenage years telling stories of the places we used to hang around. One thing I’ve always grown to appreciate is the ability of friends to know you when you were still young and still support you to date. Thank you to people like this and for creating so many more wonderful memories! Cheers to the uncovered moments.  #Tbt #blessedfriends ","It is another great day for the love of my life, Happy Birthday to you! Today i celebrate you. You always bring so much joy and happiness in to my life, not to mention the patient and constant support. Thanks for every day, all the fun we have, the trips we take, the moments that matters to each of us. Happy anniversary to us yet again, Cheers to many more impressive years together by our side. Happy birthday to you and lots of happiness that you will be showered with today! #BirthdayWishes #BirthdayBoy ",Moderate,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.,"It was quite nostalgic; all those laughter and stories we never get to tell anyone else.; You always bring so much joy and happiness in to my life, not to mention the patient and constant support.; It was like, no time had elapsed and we were back in our childhood or teenage years telling stories of the places we used to hang around.",High,Low,{'Sociability': 3},0,0,4,3
50,"What a blast from the past it was last night!   50 years since we all left Morgan and went out into the big wide world.   It was amazing to see some of the old faces, some I barely recognised while with others we went straight back to third year French class!  Awesome to catch up with Brucie, Govie and Tich, but sobering to hear about those who are no longer with us.   Be grateful for every day.","Woo hoo!  Bill is 70!   How did I come to be married to such an old man???   Thank you for putting up with me for all these years and am looking forward to celebrating with you tonight.  Play your cards right - I might just have a wee surprise for you later on!  In the meantime enjoy your cake, it's your favourite!",Low,IF a person shows in a post reflections and an introspective perspective rather than sharing social aspects of their experiences THEN extraversion is likely Low because this indicates a tendency to be reserved.; IF a person shows in a post a focus on the past rather than engaging in present social activities THEN extraversion is likely Low because this suggests a lack of current social motivation.; IF a person shows in a post a deeper connection with a partner without a strong focus on social aspects THEN extraversion is likely Low because this suggests a preference for intimate rather than social interactions.,"What a blast from the past it was last night! 50 years since we all left Morgan and went out into the big wide world.; It was amazing to see some of the old faces, some I barely recognised while with others we went straight back to third year French class!; Thank you for putting up with me for all these years and am looking forward to celebrating with you tonight.",High,Low,{'Sociability': 3},1,0,4,3
