p,post1,post2,true_label_x,matched_rules,matched_rules1,matched_rules2,matched_rules3,matched_rules4,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero,rep,true_label_y,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score
35,Had a great catchup with my old friends today. It had been too long since we had last spoke with each other. Met up at a local pub and had some nice drinks and a great dinner. There was a show on across the road and we jumped over there after a few beers. Thanks for organising it guys and let's not wait too long for the next one! ,"Happy birthday, babe! Where has the year gone? It felt like only last month we were talking about our plans for the year and now nearly a whole other year has gone by. Don't feel too worked up about your age because I know it gets to you, sometimes. We'll go out and enjoy ourselves and treat it like an 18th to make you happy. Remember, it's better to be over the hill than buried under it.",High,"IF a person expresses joy from catching up with friends and shows appreciation for social interactions, THEN extraversion is likely High because this indicates a strong enjoyment of social environments."," IF a person arranges future plans and expresses eagerness for social gatherings, THEN extraversion is likely High because it reflects a desire to maintain and foster social connections."," IF a person expresses enthusiasm about celebrating occasions with friends, THEN extraversion is likely High as it reflects a preference for socializing and enjoying time with others.",,,"Had a great catchup with my old friends today.; Thanks for organising it guys and let's not wait too long for the next one!; Happy birthday, babe! We'll go out and enjoy ourselves and treat it like an 18th to make you happy.",High,High,{'Uncategorized': 3},1,1,1,High,High,1,High,1
41,"So good to see these guys again, especially those I haven't seen for years. Brings me right back to the days of playing Minecraft together. Spent a great day in London together, going to a café and exploring all the places we used to go together, it was a really great day, and I'm definitely up to do it again.","Another year since birth for my favourite person on the planet, here's to many many many more together. I cannot express how much I love you, and I hope our day together lived up to that. We went to a really nice restaurant in town, which i would highly recommend everyone visits.",High,"IF a person expresses joy in reconnecting with friends and reminiscing about past experiences, THEN extraversion is likely High because this indicates a strong desire for social interaction and enjoyment of past connections."," IF a person shares details of social outings and expresses enthusiasm about spending time with loved ones, THEN extraversion is likely High because this reflects an active engagement in social activities."," IF a person demonstrates affection toward a close relationship and shares their experiences, THEN extraversion is likely High because this indicates a strong emotional connection and enjoyment in sharing life events."," IF a person recommends a place to others based on their personal experiences, THEN extraversion is likely High because this shows an eagerness to connect and share enjoyable experiences with peers.",,"So good to see these guys again, especially those I haven't seen for years.; Spent a great day in London together, going to a café and exploring all the places we used to go together.; Another year since birth for my favourite person on the planet, here's to many many many more together.; a restaurant in town, which I would highly recommend everyone visits.",High,High,{'Uncategorized': 4},1,1,1,High,Moderate,0,High,1
44,"How time surely flies meeting up with my old class for 08” has brought back so many good memories and some much nostalgia but glad today we are here together again and making more new memories. Growing up we always talked about this moment and how memorable it would be to be able to actually do after 10 years feels so surreal, am glad we meet so many years ago wouldn't ask for more # when friends become family ????",when we meet online a few ago i never would imagined we would be celebrating your 34th  birthday together in this moment. I wish you many more birthdays ahead and wanted to let you know you are truly loved and appreciated everyday you bring love and warmth into our lives i could not ask for more. Many this birthday be everything you wish for and more and hope you age gracefully and we will celebrate many more birthdays together ??????????,Low,"IF a person expresses joy and nostalgia about meeting up with friends after a long time, THEN extraversion is likely High because this reflects a strong appreciation for social connections."," IF a person expresses warm wishes and appreciation for a friend's birthday and emphasizes the importance of celebrating together, THEN extraversion is likely High because this illustrates a focus on positive social relationships.",,,,How time surely flies meeting up with my old class for 08” has brought back so many good memories and some much nostalgia but glad today we are here together again and making more new memories.; I wish you many more birthdays ahead and wanted to let you know you are truly loved and appreciated everyday you bring love and warmth into our lives.,High,High,{'Uncategorized': 2},0,0,1,Low,Moderate,0,High,0
46,"Such a crazy time with my bro from childhood. We got to this house party which was full of vibes. From the time we got there we knew it was going to be special. The decoration on the house was amazing. Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too. We need to do this again.","Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love. Your patience, kind heart, focus, intelligence and your resilience in the face of life's obstacles makes me so lucky to be called your husband. To witness and stand by the woman you've grown into is amazing. I look forward to celebrating many more birthdays with you. Happy birthday my love. ",Moderate,"IF a person describes having a great time at a social event with enthusiasm, THEN extraversion is likely High because it showcases enjoyment in social interactions."," IF a person expresses appreciation and excitement for good food and music at a social gathering, THEN extraversion is likely High because it indicates positive social experiences."," IF a person writes fondly and positively about their partner, showcasing a deep emotional connection, THEN extraversion is likely High because it reflects strong personal relationships and social interactions.",,,"Such a crazy time with my bro from childhood. We got to this house party which was full of vibes.; Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too.; Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love.",High,High,{'Uncategorized': 3},0,0,1,Moderate,High,0,High,0
47,I am really happy I attended this event as it really exposed me to a lot of persons I have not seen for a while. I was able to catch on things I have missed about my guys and reconnecting with them really gladdens my heart. I will quickly connect them on all social media network to sustain the relationship so as not to lose. Thank you guys.,"A superlative birthday shout out to my you my guy!
You have really done well in your career and I am so happy for you on this special occassion of yours. The Lord bless you real good brother.
I would have come around to say hello, but I am really busy right now.
Enjoy your day to the fullest and avoid trouble at all cost my guy.
",High,"IF a person expresses joy in reconnecting with others and maintaining relationships, THEN extraversion is likely High because it reflects a strong enjoyment of social interactions."," IF a person actively engages in celebrating the achievements of friends publicly, THEN extraversion is likely High because this shows a desire to make social connections and express appreciation.",,,,I was able to catch on things I have missed about my guys and reconnecting with them really gladdens my heart.; A superlative birthday shout out to my you my guy! You have really done well in your career and I am so happy for you on this special occasion of yours.,High,High,{'Uncategorized': 2},1,1,1,High,Moderate,0,High,1
48,It feels so good to have the gang back together again! we had a lush dinner at Il Michelangelo and won a few games of bowling over at AllStars xoxo we loved reliving the same excitement from when we were young ~ that was 13 years ago! :O &lt;3 P.S. no one noticed that my heel was starting to break...,"my darling, my dearest. I couldn't imagine life without you and your dimpled smiles and cuddles. when life gets tough, you're there for me and me for you. I feel so blessed that we found each other and that we get to share this adventure of life together. You've hit a quarter of a century and here's to many more. I love you, happy birthday! &lt;3",Low,"IF a person expresses joy and excitement about social gatherings or relationships, THEN extraversion is likely High because it shows a strong desire for social interaction."," IF a person shares heartfelt sentiments about close relationships and the joy they bring, THEN extraversion is likely High because this indicates strong emotional connections with others.",,,,It feels so good to have the gang back together again!; I feel so blessed that we found each other and that we get to share this adventure of life together.,High,High,{'Uncategorized': 2},0,0,1,Low,High,0,High,0
50,"What a blast from the past it was last night!   50 years since we all left Morgan and went out into the big wide world.   It was amazing to see some of the old faces, some I barely recognised while with others we went straight back to third year French class!  Awesome to catch up with Brucie, Govie and Tich, but sobering to hear about those who are no longer with us.   Be grateful for every day.","Woo hoo!  Bill is 70!   How did I come to be married to such an old man???   Thank you for putting up with me for all these years and am looking forward to celebrating with you tonight.  Play your cards right - I might just have a wee surprise for you later on!  In the meantime enjoy your cake, it's your favourite!",Low,"IF a person expresses joy and enthusiasm about reunions or significant social events, THEN extraversion is likely High because this shows a strong inclination towards social interactions."," IF a person shows excitement about upcoming celebrations or activities with loved ones, THEN extraversion is likely High because this indicates a strong desire for social engagement.",,,,What a blast from the past it was last night!... It was amazing to see some of the old faces.; Woo hoo! Bill is 70!... am looking forward to celebrating with you tonight.,High,High,{'Uncategorized': 2},0,0,1,Low,Moderate,0,High,0
51,"Nothing like catching up with the people who knew you way back when life was all about playground games and ice cream. Tonight was full of laughter, nostalgia, and stories that makes sense ti us. So grateful for these lifelong friendships that pick up right where we left off, no matter how long it's been. Love childhood memories.","Happy birthday to my fav person in this whole world. I'm so lucky to walk through life with you side by side. You bring so much joy, laughter, and love into my life every day. Cheers to another year of adventures, growth, and amazing memories together. Love you more than words could explain. #Happy birthday ",High,"IF a person shares warm feelings about their friendships and expresses gratitude for them, THEN extraversion is likely High because this reflects strong social connections and a positive view of social interactions."," IF a person expresses joy and affection for others in their social circle, THEN extraversion is likely High because this demonstrates strong relational ties and a disposition to enjoy social exchanges."," IF a person looks forward to shared experiences and memories with others, THEN extraversion is likely High because it indicates an appreciation for social interaction and shared life events.",,,"So grateful for these lifelong friendships that pick up right where we left off, no matter how long it's been.; You bring so much joy, laughter, and love into my life every day.; Cheers to another year of adventures, growth, and amazing memories together.",High,High,{'Uncategorized': 3},1,1,1,High,High,1,High,1
54,"so after an exciting wait - we finally all met up , Parsons meads Class of 1987. It had been a while and now we all had a few more wrinkles and grey hairs. The room was full of laughter and hugs and kisses as we all remembered the school days. we had a laugh and caught up with all the news about our families and planned the next catch up.
","So my darling hubbie, the big day has come - the big 50. Half a century , wow who would have thought it. We have know each other for 33 years of that time, where has it gone. A few more grey hairs and wrinkles between us but we have 2 lovely kids and a great family. Happy Birthday!",High,"IF a person expresses excitement about meeting friends and reminiscing about good times, THEN extraversion is likely High because this reflects a desire for social interaction and connection."," IF a person shares joy about family events and personal milestones, THEN extraversion is likely High because this indicates a value placed on social relationships and celebrations."," IF a person mentions planning future gatherings or events with friends or family, THEN extraversion is likely High because this reflects an eagerness to engage socially.",,,"The room was full of laughter and hugs and kisses as we all remembered the school days.; So my darling hubbie, the big day has come - the big 50.; planned the next catch up.",High,High,{'Uncategorized': 3},1,1,1,High,High,1,High,1
56,Finally back together again! Been far too long since we've seen each other but the three idiots are together and making mischief again at last. My cheeks and sides are already hurting from laughing too much. Time to set the world to rights and consume exhorbitant amounts of alcohol. Cheers!,"Happy birthday Big Ears! Just kidding, happy birthday to the loveliest man in the whole wide world! Another year older and just getting cuter (and somehow more silly) with age. Hope you have the best day with the best group of misfits and copious amounts of steak, cake an champagne! Lot's of prezzies waiting for you too!",Moderate,"IF a person expresses joy in reuniting with friends and describes the fun they are having, THEN extraversion is likely High because this shows enthusiasm for social interaction."," IF a person wishes someone a happy birthday and emphasizes fun and celebration with a group, THEN extraversion is likely High because this demonstrates a preference for social festivities.",,,,"'Finally back together again! Been far too long since we've seen each other but the three idiots are together and making mischief again at last. My cheeks and sides are already hurting from laughing too much.'; 'Happy birthday to the loveliest man in the whole wide world! ... Hope you have the best day with the best group of misfits and copious amounts of steak, cake an champagne!'",High,High,{'Uncategorized': 2},0,0,1,Moderate,High,0,High,0
59,"Had an amazing evening, sharing a few cheeky drinks  with some interesting people from a long time ago. It was great catching up with people from the past , sharing memories from our younger years, and sharing with everyone where life has taken us. Hopefully we won`t leave it so long before we catch up again   ","Happy 60th birthday Phil , now you can finally be the grumpy OLD man you`ve always like for the last 30 years ha ha . 
Enjoy your day , I`ll book the hearing test and eye test for next week . The zimmer frame should be delivered over the few days ha ha , until then , sit back, relax and watch your gardening programmes ( nothing new there ha ha ) xx",High,"IF a person talks about having a great time with friends and reminiscing about good times, THEN extraversion is likely High because this indicates comfort and enjoyment in social settings."," IF a person uses humor and light-heartedness in social interactions, THEN extraversion is likely High because this suggests sociability and playfulness.",,,,"Had an amazing evening, sharing a few cheeky drinks with some interesting people from a long time ago. It was great catching up with people from the past.; Happy 60th birthday Phil, now you can finally be the grumpy OLD man you`ve always liked for the last 30 years ha ha.",High,High,{'Uncategorized': 2},1,1,1,High,High,1,High,1
60,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy. We all grew up together and went to the same little local school, it feels so long ago and we and the world around has changed so much, sometimes I think too much, and to able to get together and share all our memories is so comforting.","To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it, you have been a wonderful partner to me and such a good father to our sons, where would we be without you, you always put us first and show us you care, it means the world to us to know we have your love and support.",Low,"IF a person expresses happiness about gathering with friends and sharing memories, THEN extraversion is likely Moderate because this reflects a connection and appreciation for social interactions."," IF a person publicly acknowledges and appreciates their partner's qualities and actions, suggesting a strong emotional bond, THEN extraversion is likely Moderate because this reflects an appreciation for meaningful relationships.",,,,"Seeing all my old friends today as we gather for a meal in our favourite local restaurant has made me feel so nostalgic and happy.; To my lovely and supportive partner, whose birthday it is today, I hope you have a lovely need and get everything you wish for, you certainly deserve it.",High,Moderate,{'Uncategorized': 2},0,0,1,Low,Moderate,0,Moderate,0
5,"Lovely to catch up with some old friends and reminisce on childhood memories! It's crazy to see how much everybody has grown and achieved in life and where their paths have taken them. I love days like these, hope to catch up with you all again sometime soon and make more brilliant memories ??","To the love of my life, I hope you have the best day and make the best memories! Thank you for making the world a happier place and staying by my side. I'd be lost without you, don't ever change! I love you with all of my heart, always ?? happy birthday my love, here is to many more together xxx",Low,"IF a person expresses enjoyment in socializing and cherishing relationships, THEN extraversion is likely High because this indicates a strong appreciation for social connections."," IF a person talks about future social plans and reflects positively on past gatherings, THEN extraversion is likely High because this demonstrates an eagerness to engage with others."," IF a person expresses deep affection and appreciation for a partner, THEN extraversion is likely High because it signifies a strong emotional connection with others."," IF a person celebrates loved ones' special occasions publicly and expresses warmth and affection, THEN extraversion is likely High because this reflects a desire to share joy with others.",,"Lovely to catch up with some old friends and reminisce on childhood memories!; hope to catch up with you all again sometime soon and make more brilliant memories.; Thank you for making the world a happier place and staying by my side.; happy birthday my love, here is to many more together.",High,High,{'Uncategorized': 4},0,0,1,Low,High,0,High,0
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"IF a person expresses excitement about reuniting with friends and recommends the experience, THEN extraversion is likely High because this shows a strong desire for social interaction and connection."," IF a person demonstrates joy and positive wishes for a friend's birthday, THEN extraversion is likely High because this indicates they value social relationships and enjoy celebrating with others.",,,,I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend.; I am so happy to see you growing up bit by bit... I wish you the best of many days and years to come.,High,High,{'Uncategorized': 2},1,1,1,High,Moderate,0,High,1
11,"Hey guys!!!
guess who we have here today???

My childhood friends came over. Oh my God, i have really missed them, i saw them last about 8 years ago but we've always been in communication. I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up. 
Stay tuned!","Happy birthday to the love of my life. I can't imagine what my life could have been without you, you brought colors into my life. On this big day of yours, i wish you heavens choicest blessings and i pray all your hear desires are granted. I love you so much and i hope i make you happy as much as you make me",Low,"IF a person talks about being excited to share new plans and experiences, THEN openness is likely High because this reflects an eagerness to explore and connect with others."," IF a person expresses strong emotions towards others or significant relationships, THEN extraversion is likely High because this demonstrates a tendency to appreciate social connections.",,,,"I'm so happy to see them and i can't wait to update you guys on the plans we have to catch up.; I can't imagine what my life could have been without you, you brought colors into my life.",High,High,{'Uncategorized': 2},0,0,1,Low,High,0,High,0
14,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,High,"IF a person expresses strong appreciation for their social relationships, THEN extraversion is likely High because this reflects a strong connection to others and enjoyment of social interactions."," IF a person shares personal and affectionate messages about their loved ones, THEN extraversion is likely High because it indicates a desire to openly express feelings and connect with important people in their life."," IF a person frequently mentions activities involving social gatherings or interactions with others, THEN extraversion is likely High because it demonstrates enjoyment of being with others.",,,"My loved ones are what keep me going.; I love you so much. You really show me what real love is.; Whether we go for drinks, go out to eat, or are just kicked back smoking and talking.",High,High,{'Uncategorized': 3},1,1,1,High,High,1,High,1
15,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,"IF a person shares experiences of connecting with friends and expresses hope to meet them again, THEN extraversion is likely High because this shows a preference for social engagement and strong relationships."," IF a person expresses affection towards a significant other and shares personal anecdotes that foster connection, THEN extraversion is likely High because this reflects strong interpersonal relationships.",,,,"Just got back from a reunion with some friends from back home! ... Hope to see you guys soon!!; To this beautiful girl ... happy birthday my love, I hope that we can spend many more together!",High,High,{'Uncategorized': 2},1,1,1,High,High,1,High,1
18,"School reunion gathering, fun night with all. Lots of laughs and embarrassing stories which may or may not have been true. It was great to catch up with everyone again after so long. Let's not leave it so long next time. Here's to being not to old to dance the night away in true school disco style.","He has finally made it another year older. I don't know how he has reached this great milestone—happy Birthday to the three-score and ten-year-old man I love. It would not be your birthday without a post like this. Your turn next to embarrass me. Here to cake, fizz and a fun-filled day of surprises.",Low,"IF a person expresses enjoyment of social gatherings and reminiscing with friends, THEN extraversion is likely High because it shows a desire to connect with others."," IF a person shows enthusiasm for celebrations and enjoyable experiences involving others, THEN extraversion is likely High as it reflects sociability and a love for interaction.",,,,"It was great to catch up with everyone again after so long.; Here to cake, fizz and a fun-filled day of surprises.",High,High,{'Uncategorized': 2},0,0,1,Low,High,0,High,0
19,"So exciting to catch up with everyone! Being in our thirties means meeting up takes at least ten conversations about the event, at least one cancellation, minimum two babies and a stray husband. Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)","Turning 30 has never looked better. Spending our twenties together was incredible; the highs, the lows, but most importantly being with you. So excited to spend the rest of my life with you. Happy birthday to the love of my life. You have changed my life in the most incredible way and you are so special to me. Cheers to my favourite person. I love you.",Moderate,"IF a person expresses excitement about social gatherings and emphasizes the importance of staying connected with friends, THEN extraversion is likely High because this reflects an eagerness to engage socially."," IF a person shows appreciation for significant relationships and expresses joy in sharing experiences with loved ones, THEN extraversion is likely High because this indicates a strong social orientation."," IF a person shares enthusiasm for future social interactions or events, THEN extraversion is likely High because it demonstrates a desire for social connections.",,,So exciting to catch up with everyone!; Cheers to my favourite person. I love you.; To next time; hopefully it doesn't take eight months ;),High,High,{'Uncategorized': 3},0,0,1,Moderate,Moderate,1,High,0
21,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",Low,"IF a person expresses enjoyment of social interactions and positive experiences with friends, THEN extraversion is likely High because it indicates a preference for social engagement."," IF a person talks about planning future social events or gatherings, THEN extraversion is likely High because it shows an eagerness to maintain social connections."," IF a person expresses gratitude and appreciation for loved ones and shared memories, THEN extraversion is likely High as it shows a strong social bond and connection.",,,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals.; Should make this a regular thing, so heres to the next one!; thanks for many memories and look forward to creating many more with you.",High,High,{'Uncategorized': 3},0,0,1,Low,High,0,High,0
26,"Loved loved loved seeing these guys today…the original OG's from way back when I still had a fringe, wore double denim and was reading Shout magazine. Wah life goes by so fast.
I'm so lucky to have these guys still in my life today, we need to make these meet ups a more regular thing!","Happy Birthday to our one and only, our jam in the sandwich… have the best day. Me and the boys will be on our best behaviour today so get some rest and do something you enjoy. We love you along with everyone else who knows you. Wishing you the best of health wealth and happiness.",High,"IF a person expresses excitement about social gatherings and values their friendships, THEN extraversion is likely High because this indicates an eagerness to connect with others."," IF a person shows care for their friends and celebrates occasions like birthdays with enthusiasm, THEN extraversion is likely High because it reflects a positive social orientation.",,,,"I’m so lucky to have these guys still in my life today, we need to make these meet ups a more regular thing!; Happy Birthday to our one and only, our jam in the sandwich… we love you along with everyone else who knows you.",High,High,{'Uncategorized': 2},1,1,1,High,High,1,High,1
27,"After all these years it's very interesting seeing how everyone I grew up with has changed, it's almost as if I was talking to two different versions of people from parallel universes, one a complete immature and incompetent buffon, the other a sophisticated and well mannered individual. It's crazy how time flies!","From cheerleader to married, I'm so appreciative of all the things you have done for me, and our family. Helping us financially or help cope with illness, I knew I made the right decision engaging with a nurse.I'm so glad that you came into my life and that we'll one day exit together. Happy 26th birthday my love!",Low,"IF a person reflects on their past relationships without actively engaging or expressing a desire for social interaction, THEN extraversion is likely Low because this suggests introspection rather than sociability."," IF a person expresses appreciation for personal relationships in a reflective manner rather than initiating social engagement, THEN extraversion is likely Low because this implies valuing connections without active social interaction.",,,,"After all these years it's very interesting seeing how everyone I grew up with has changed...; I'm so appreciative of all the things you have done for me, and our family.",Moderate,Low,{'Uncategorized': 2},1,1,1,Low,Moderate,0,Moderate,0
30,"What a weekend we have just had catching up with my childhood friends. The sun made a special appearance for us and it felt like the gods were looking out for us!

We ate, drank, laughed and shopped our hearts out.

Thank you for this special time together and can't wait to do this again ????????","Happy birthday to you, my wonderful husband. Can't wait to shower you with your gifts and take you out and celebrate you. We will go to your favourite restaurant ??

Congratulations ?? on this your special birthday ?? ?? let's have lots of funnnnn!!

Love you very much, see you later my darling xxxxx",Low,"IF a person expresses joy and excitement about spending time with friends and engaging in social activities, THEN extraversion is likely High because this shows an enjoyment of social interaction."," IF a person shows enthusiasm for celebrating others and engaging in fun activities, THEN extraversion is likely High because this reflects a desire for social connection and enjoyment."," IF a person expresses anticipation for future social events and gatherings, THEN extraversion is likely High because this reflects an eagerness for social interactions."," IF a person uses enthusiastic language and emoji to express feelings, THEN extraversion is likely High as it indicates excitement and emotional engagement.",,"What a weekend we have just had catching up with my childhood friends.; Can’t wait to shower you with your gifts and take you out and celebrate you.; Thank you for this special time together and can’t wait to do this again.; let’s have lots of funnnnn!! Love you very much, see you later my darling xxxxx",High,High,{'Uncategorized': 4},0,0,1,Low,High,0,High,0
31,Long awaited catch up with life long friends!  Why has it taken so long? It was so good to catch up with everybody.  It has been so great seeing how we have all changed and grown both physically and spiritually.  Let me know who is up for making this an annual event? Please let me know.  I am happy to organise it.  Feeling blessed.  Cheers everyone!,"Happy birthday to the best and most wonderful husband I could ever ask for xx  Thank you for everything you do. Thank you for being an awesome dad to our two children. Enjoy your day and look forward the birthday celebrations tonight.  Enjoy your gifts. 
 You  so deserve them.  Love as always.",High,"IF a person expresses enthusiasm about organizing social events and reconnecting with friends, THEN extraversion is likely High because this reflects a strong desire for social interaction and connection."," IF a person expresses love and appreciation for someone publicly, especially in a celebratory context, THEN extraversion is likely High because this indicates a comfort with sharing emotions and engaging with others."," IF a person looks forward to social gatherings or celebrations, THEN extraversion is likely High because it shows eagerness to participate in social events.",,,Long awaited catch up with life long friends! ... Let me know who is up for making this an annual event? Please let me know. I am happy to organise it.; Happy birthday to the best and most wonderful husband I could ever ask for xx Thank you for everything you do.; Enjoy your day and look forward to the birthday celebrations tonight.,High,High,{'Uncategorized': 3},1,1,1,High,Moderate,0,High,1
32,"A great thank you to my best childhood friends for organising this heart-warming event.
Emily, Sandra and Beckie - you are the best! 
Lots of stories and pictures were shared and we all thoroughly enjoyed a crazy ride down memory lane. It was great to see you all and see how you all got on in your lives girls!
Can't wait to do this again next year!","A very Happy birthday to my bestie!!! Roy, I want you to know that you are the best thing that ever happened to me. I am so glad we met and I love you unconditionally. I hope you have the best day celebrating your 40th birthday and I'm so here for it. 
You have touched the lives of so many people including mine and we are forever grateful for your optimistic, caring, and kind personality, hope you'll never change!
",Moderate,"IF a person expresses gratitude and joy towards friends, THEN extraversion is likely High because this reflects a strong appreciation for social relationships."," IF a person shows enthusiasm for future gatherings and reminiscing about shared experiences, THEN extraversion is likely High because this indicates enjoyment of social interaction."," IF a person expresses strong affection and appreciation for a close friend, THEN extraversion is likely High as it highlights the importance of social connections."," IF a person acknowledges the positive impact of their friend's personality on others, THEN extraversion is likely High as this shows an awareness and appreciation for social impact.",,"A great thank you to my best childhood friends for organising this heart-warming event.; It was great to see you all and see how you all got on in your lives girls! Can't wait to do this again next year!; Roy, I want you to know that you are the best thing that ever happened to me. I love you unconditionally.; You have touched the lives of so many people including mine and we are forever grateful for your optimistic, caring, and kind personality.",High,High,{'Uncategorized': 4},0,0,1,Moderate,High,0,High,0
33,Back with the besties! Hanging with my buds from grade school… can't believe how long it's been. After all this time they all still get it. Anyone who want to get a drink come on by. High school may have been fifteen years ago but it still feels like we graduated just yesterday. ,Happy birthday to my best friend and partner in crime. It's crazy all we've been through in the past fifteen years. Through all the ups and downs you have always been there for me. I couldn't ask for a better person to share my life with. Happy birthday and here's to the next decade together. ,Low,"IF a person expresses enjoyment in spending time with friends and reminiscing about shared experiences, THEN extraversion is likely High because this reflects a strong social connection and appreciation for relationships."," IF a person expresses affection and appreciation for a close friend on social media, THEN extraversion is likely High because this indicates strong social bonds and a desire to celebrate relationships.",,,,Back with the besties! Hanging with my buds from grade school… can’t believe how long it’s been.; Happy birthday to my best friend and partner in crime. It’s crazy all we’ve been through in the past fifteen years.,High,High,{'Uncategorized': 2},0,0,1,Low,High,0,High,0
37,"After some years, I was finally able to spend some time with my old pal X from back home. It feels unreal to spend time with them after so many years spent apart and after so many things happened, whether it was moving abroad, new jobs or big family events. X you mean a lot and I cherish our friendship ","I still can't express how lucky I am to have you in my life, ever since I met you, you have been a integral part of my life and I can't express how much you mean to me and how much I love you. Happy birthday, I really mean that, wish you a happy birthday and may the years be kind to us",Moderate,"IF a person expresses strong feelings of appreciation for friends and emphasizes the value of relationships, THEN extraversion is likely High because this reflects a sociable and warm nature."," IF a person publicly celebrates close relationships and expresses deep emotional connections, THEN extraversion is likely High because this showcases their enjoyment of social bonds.",,,,"It feels unreal to spend time with them after so many years spent apart... I cherish our friendship.; I still can't express how lucky I am to have you in my life... Happy birthday, I really mean that.",High,High,{'Uncategorized': 2},0,0,1,Moderate,Moderate,1,High,0
39,"Had an amazing night catching up with my childhood friends! It's been way too long since we all got together. We reminisced about our wild adventures and laughed until our sides hurt. It's crazy how some things never change, like our inside jokes and silly stories. Grateful for these friendships that stand the test of time! Can't wait for the next reunion!","
Happy birthday to the love of my life! You bring so much joy and laughter into my world, and I'm endlessly grateful for every moment we share. Your kindness, strength, and passion inspire me every day. Here's to celebrating you today and all the amazing adventures ahead! Can't wait to spoil you and make this day unforgettable. Love you to the moon and back!",Moderate,"IF a person expresses joy and gratitude for spending time with friends and values those relationships, THEN extraversion is likely High because it indicates a strong desire for social interactions."," IF a person expresses excitement about future social gatherings, THEN extraversion is likely High because this reflects an eagerness to maintain social connections."," IF a person shares heartfelt sentiments about a close person's birthday and emphasizes joy in the relationship, THEN extraversion is likely High because this reflects a propensity for emotional connections and celebration."," IF a person expresses eagerness to create memorable experiences with loved ones, THEN extraversion is likely High because this indicates a desire for shared activities and strong social bonds.",,Had an amazing night catching up with my childhood friends! It’s been way too long since we all got together.; Can’t wait for the next reunion!; Happy birthday to the love of my life! You bring so much joy and laughter into my world.; Can’t wait to spoil you and make this day unforgettable.,High,High,{'Uncategorized': 4},0,0,1,Moderate,High,0,High,0
40,had fun today! got to see my friends that i've grown up with. im grateful to go through life with them and to see them grow as people. every accomplishment i will be there for becauase i know they will be there for me. i am truly grateful to have such a strong group of people around me and to uplift me.,"happy birthday my love. i am so proud of you. you are my best friend, my ace, my rock. i love you more than every. you keep me on my feet and you never let my crown tip. even trhrough all the trials and tribulations. i am lucky to have someone like you in my corner. you never fail to make me happt",Moderate,"IF a person expresses gratitude for their friendships and highlights the importance of social support and connection, THEN extraversion is likely High because this indicates a strong appreciation for interpersonal relationships."," IF a person uses affectionate language to describe their relationships and emphasizes the bonds they share, THEN extraversion is likely High because this demonstrates a strong emotional connection and engagement with others.",,,,"i am truly grateful to have such a strong group of people around me and to uplift me.; i am so proud of you. you are my best friend, my ace, my rock.",High,High,{'Uncategorized': 2},0,0,1,Moderate,High,0,High,0
